Data from GPS: x 56.60 y 1.48 z 93.22
Data from GPS: x 91.72 y 30.21 z 97.35
Data from GPS: x 54.02 y 75.64 z 9.45
Data from GPS: x 54.87 y 58.27 z 47.52
Data from GPS: x 40.02 y 9.04 z 57.15
Static time: 2 seconds (x 40.02 y 9.04 z 57.15)
Static time: 4 seconds (x 40.02 y 9.04 z 57.15)
Static time: 6 seconds (x 40.02 y 9.04 z 57.15)
Static time: 8 seconds (x 40.02 y 9.04 z 57.15)
Static time: 10 seconds (x 40.02 y 9.04 z 57.15)
Static time: 12 seconds (x 40.02 y 9.04 z 57.15)
Static time: 14 seconds (x 40.02 y 9.04 z 57.15)
Static time: 16 seconds (x 40.02 y 9.04 z 57.15)
Static time: 18 seconds (x 40.02 y 9.04 z 57.15)
Static time: 20 seconds (x 40.02 y 9.04 z 57.15)
Data from GPS: x 33.30 y 60.55 z 81.70
Data from GPS: x 60.69 y 91.44 z 50.90
Data from GPS: x 68.14 y 51.98 z 50.31
Data from GPS: x 90.16 y 56.11 z 12.00
Data from GPS: x 82.32 y 58.10 z 17.17
Static time: 2 seconds (x 82.32 y 58.10 z 17.17)
Static time: 4 seconds (x 82.32 y 58.10 z 17.17)
Static time: 6 seconds (x 82.32 y 58.10 z 17.17)
Static time: 8 seconds (x 82.32 y 58.10 z 17.17)
Static time: 10 seconds (x 82.32 y 58.10 z 17.17)
Static time: 12 seconds (x 82.32 y 58.10 z 17.17)
Static time: 14 seconds (x 82.32 y 58.10 z 17.17)
Static time: 16 seconds (x 82.32 y 58.10 z 17.17)
Static time: 18 seconds (x 82.32 y 58.10 z 17.17)
Static time: 20 seconds (x 82.32 y 58.10 z 17.17)
Static time: 22 seconds (x 82.32 y 58.10 z 17.17)
Data from GPS: x 93.35 y 42.89 z 64.86
Data from GPS: x 16.82 y 14.74 z 81.56
Data from GPS: x 52.66 y 98.23 z 32.69
Data from GPS: x 44.23 y 13.08 z 91.19
Data from GPS: x 9.01 y 9.48 z 14.18
Data from GPS: x 78.59 y 5.20 z 0.21
Data from GPS: x 58.17 y 56.73 z 43.37
Static time: 2 seconds (x 58.17 y 56.73 z 43.37)
Static time: 4 seconds (x 58.17 y 56.73 z 43.37)
Static time: 6 seconds (x 58.17 y 56.73 z 43.37)
Static time: 8 seconds (x 58.17 y 56.73 z 43.37)
Static time: 10 seconds (x 58.17 y 56.73 z 43.37)
Static time: 12 seconds (x 58.17 y 56.73 z 43.37)
Static time: 14 seconds (x 58.17 y 56.73 z 43.37)
Static time: 16 seconds (x 58.17 y 56.73 z 43.37)
Static time: 18 seconds (x 58.17 y 56.73 z 43.37)
Static time: 20 seconds (x 58.17 y 56.73 z 43.37)
Static time: 22 seconds (x 58.17 y 56.73 z 43.37)
Static time: 24 seconds (x 58.17 y 56.73 z 43.37)
Static time: 26 seconds (x 58.17 y 56.73 z 43.37)
Static time: 28 seconds (x 58.17 y 56.73 z 43.37)
Static time: 30 seconds (x 58.17 y 56.73 z 43.37)
Static time: 32 seconds (x 58.17 y 56.73 z 43.37)
Static time: 34 seconds (x 58.17 y 56.73 z 43.37)
