Data from GPS: x 35.84 y 3.39 z 90.14
Data from GPS: x 48.24 y 7.43 z 58.27
Data from GPS: x 54.00 y 17.04 z 34.83
Data from GPS: x 71.16 y 4.60 z 59.45
Data from GPS: x 8.69 y 72.48 z 3.84
Data from GPS: x 72.90 y 68.76 z 29.58
Data from GPS: x 42.78 y 35.01 z 73.45
Data from GPS: x 80.28 y 97.97 z 84.31
Data from GPS: x 80.07 y 0.36 z 68.59
Data from GPS: x 82.28 y 81.54 z 28.84
Data from GPS: x 38.53 y 74.59 z 81.04
Data from GPS: x 69.23 y 34.04 z 76.07
Static time: 2 seconds (x 69.23 y 34.04 z 76.07)
Static time: 4 seconds (x 69.23 y 34.04 z 76.07)
Static time: 6 seconds (x 69.23 y 34.04 z 76.07)
Static time: 8 seconds (x 69.23 y 34.04 z 76.07)
Static time: 10 seconds (x 69.23 y 34.04 z 76.07)
Static time: 12 seconds (x 69.23 y 34.04 z 76.07)
Data from GPS: x 2.50 y 46.99 z 82.90
Data from GPS: x 13.60 y 79.65 z 10.63
Data from GPS: x 43.24 y 88.17 z 41.22
Data from GPS: x 37.97 y 56.19 z 44.39
Data from GPS: x 38.58 y 86.26 z 28.81
Data from GPS: x 48.30 y 83.46 z 29.65
Static time: 2 seconds (x 48.30 y 83.46 z 29.65)
Static time: 4 seconds (x 48.30 y 83.46 z 29.65)
Static time: 6 seconds (x 48.30 y 83.46 z 29.65)
Static time: 8 seconds (x 48.30 y 83.46 z 29.65)
Static time: 10 seconds (x 48.30 y 83.46 z 29.65)
Static time: 12 seconds (x 48.30 y 83.46 z 29.65)
Static time: 14 seconds (x 48.30 y 83.46 z 29.65)
Static time: 16 seconds (x 48.30 y 83.46 z 29.65)
Static time: 18 seconds (x 48.30 y 83.46 z 29.65)
Static time: 20 seconds (x 48.30 y 83.46 z 29.65)
Static time: 22 seconds (x 48.30 y 83.46 z 29.65)
Static time: 24 seconds (x 48.30 y 83.46 z 29.65)
Static time: 26 seconds (x 48.30 y 83.46 z 29.65)
Static time: 28 seconds (x 48.30 y 83.46 z 29.65)
Static time: 30 seconds (x 48.30 y 83.46 z 29.65)
Static time: 32 seconds (x 48.30 y 83.46 z 29.65)
Static time: 34 seconds (x 48.30 y 83.46 z 29.65)
Static time: 36 seconds (x 48.30 y 83.46 z 29.65)
Static time: 38 seconds (x 48.30 y 83.46 z 29.65)
Static time: 40 seconds (x 48.30 y 83.46 z 29.65)
Static time: 42 seconds (x 48.30 y 83.46 z 29.65)
Static time: 44 seconds (x 48.30 y 83.46 z 29.65)
Static time: 46 seconds (x 48.30 y 83.46 z 29.65)
Static time: 48 seconds (x 48.30 y 83.46 z 29.65)
Static time: 50 seconds (x 48.30 y 83.46 z 29.65)
Static time: 52 seconds (x 48.30 y 83.46 z 29.65)
Static time: 54 seconds (x 48.30 y 83.46 z 29.65)
Static time: 56 seconds (x 48.30 y 83.46 z 29.65)
Static time: 58 seconds (x 48.30 y 83.46 z 29.65)
